Rank in 2020,Rank in 2019,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
  192=,199,Technische Universit‰t Wien,Austria,M,FO,VH,5,A,32.9,256,57.7,137,8.6,601+,78.7,59,75,235,87.6,119,44.7
  192=,159,Universidad AutÛnoma de Madrid,Spain,L,FC,VH,4,A,57.4,129,64,113,45.8,327,24,496,9.9,601+,14.1,601+,44.7
194,  172=,University of Aberdeen,United Kingdom,L,FC,VH,5,A,29.5,289,23.2,403,39.6,390,63.6,126,95.7,127,98.2,52,44.6
195,188,Vrije Universiteit Brussel (VUB),Belgium,M,FC,VH,5,A,25.9,323,24.7,382,90,80,29.7,436,85.9,191,65,208,44.5
197,197,Georg-August-Universit‰t Gˆttingen,Germany,XL,FC,VH,5,A,51.2,151,19,485,66.1,213,24.1,494,45.1,358,26.6,462,44.2
  198=,  200=,University of Cape Town,South Africa,L,FC,VH,5,A,47.5,164,47.6,178,28.3,537,44.4,284,71.3,245,40.9,340,44.1
  198=,192,University of Virginia,United States,L,FC,VH,5,A,39.2,210,46.6,191,64.3,220,46.1,264,14.6,601+,15.8,588,44.1
  200=,198,Keio University,Japan,XL,FC,VH,5,B,51.4,149,77.2,84,62.2,233,9.4,601+,13.2,601+,11.3,601+,44
  200=,189,King Fahd University of Petroleum & Minerals (KFUPM),Saudi Arabia,M,CO,VH,4,A,26.8,315,20.1,457,85.2,111,40.1,327,100,20,21.8,506,44
  200=,  195=,Vanderbilt University,United States,L,FC,VH,5,B,28.2,302,25.4,376,100,6,36,378,23.7,513,32.8,406,44
202,  208=,Waseda University,Japan,XL,CO,VH,5,B,58.6,123,86.9,57,32.2,470,7.9,601+,31.6,448,35.8,379,43.7
203,217,Sapienza - Universit‡ di Roma,Italy,XL,FC,VH,5,A,72.9,78,33.3,287,5.7,601+,43.8,290,10.1,601+,8.5,601+,43.5
204,  175=,Scuola Normale Superiore di Pisa,Italy,S,FO,VH,,,22.4,374,7.3,501+,100,16,57.7,158,19.7,551,21.1,515,43.4
205,  195=,University of Reading,United Kingdom,L,CO,VH,5,A,33.2,255,34.9,274,32.7,463,53.4,193,94,139,88.9,114,43.3
206,190,University of Colorado at Boulder,United States,XL,CO,VH,5,A,37.9,218,25.5,373,63.3,226,50.4,224,37.2,414,14.1,601+,43.2
  207=,220,Al-Farabi Kazakh National University,Kazakhstan,L,CO,HI,4,A,34,249,60.7,124,98.6,41,1.2,601+,40.8,390,26.1,471,43.1
  207=,183,Dartmouth College,United States,M,FC,VH,5,B,20.8,397,28.9,327,76.8,162,71.5,87,5.8,601+,35.1,387,43.1
  207=,  214=,University of Newcastle,Australia,L,FC,VH,4,A,34.1,244,31,309,32.8,461,57.4,162,100,60,63.4,217,43.1
210,  212=,University of Notre Dame,United States,L,CO,VH,5,B,29.8,285,42.6,220,67.3,206,49.8,231,43.1,371,20.6,525,42.9
211,  214=,Western University,Canada,L,FC,VH,5,A,30.4,276,65.7,110,9.1,601+,73.5,77,98.4,91,50.1,288,42.8
  212=,206,Universidad Complutense de Madrid (UCM),Spain,XL,FC,VH,5,A,64.6,98,71.6,93,26.6,559,14.5,601+,3.6,601+,24.1,487,42.7
  212=,  218=,University of Wollongong,Australia,L,FC,VH,3,A,31,269,34.3,278,21.6,601+,66.9,108,93.4,145,86.4,123,42.7
214,  204=,Universidade Estadual de Campinas (Unicamp),Brazil,L,FC,VH,4,A,67.5,94,34.5,277,21.1,601+,32.7,409,9.9,601+,4.3,601+,42.1
  215=,  212=,Arizona State University,United States,XL,CO,VH,5,A,42,188,29.9,320,12.2,601+,67.9,103,64.1,273,56.6,256,42
  215=,  221=,Victoria University of Wellington,New Zealand,L,CO,VH,5,A,47,167,36,267,13.4,601+,44.3,285,99.3,74,59.2,238,42
  217=,  204=,Radboud University Nijmegen,Netherlands,L,FC,VH,4,A,31.1,266,15.3,501+,39.4,394,76.7,67,54.4,316,26.2,470,41.4
  217=,228,Universiti Teknologi Malaysia (UTM),Malaysia,L,CO,VH,3,A,33.9,251,45,201,73.3,177,22.7,511,27.3,479,53.7,271,41.4
  219=,230,Tel Aviv University,Israel,L,FC,VH,4,A,35.4,233,40.5,235,7.8,601+,95.4,19,35.2,425,11.8,601+,41.3
  219=,169,"University of California, Irvine (UCI)",United States,XL,FC,VH,4,A,45.3,175,16.7,501+,16.9,601+,64.4,122,37.4,413,65.6,204,41.3
  219=,  231=,Vrije Universiteit Amsterdam,Netherlands,L,FC,VH,5,A,41.7,190,16.8,501+,49.1,308,47.7,253,47.3,345,21.7,507,41.3
222,  218=,Loughborough University,United Kingdom,L,FO,VH,4,A,30,283,63.3,116,34.4,453,40.4,324,82.8,204,72.1,177,41.2
223,  223=,University of Antwerp,Belgium,L,FC,VH,3,A,23.9,351,19.3,476,85.3,109,32.9,406,71.3,244,41.3,337,40.9
224,  244=,Queensland University of Technology (QUT),Australia,XL,CO,VH,3,A,42.8,184,46.9,189,10.1,601+,45.9,269,98.9,82,52.6,276,40.7
  224=,,TELECOM ParisTech,France,S,SP,HI,1,,4.7,501+,43.2,216,95.1,60,28.2,447,95,133,99.7,32,40.7
225,234,National Cheng Kung University,Taiwan,L,FC,VH,4,A,40.8,196,53.4,152,42.5,360,39.7,329,17.7,579,26.4,466,40.4
226,226,Georgetown University,United States,L,FC,VH,5,B,34.2,243,42.8,218,67.6,205,26.7,462,16.6,593,47.3,302,40.1
  227=,  208=,National Chiao Tung University,Taiwan,M,CO,VH,5,A,28.9,293,52.1,160,45.8,325,54.6,185,29.1,471,31.5,415,40
  227=,  223=,Universit‰t Hamburg,Germany,XL,FC,VH,5,A,47.7,163,15.5,501+,41,374,38.4,340,45.3,355,22.6,497,40
  227=,  231=,University of Canterbury,New Zealand,L,CO,VH,5,A,38.8,213,43.8,210,13,601+,45.9,270,100,54,64.6,213,40
230,  250=,Curtin University,Australia,L,CO,VH,3,A,32.4,259,47.3,185,19.5,601+,52.7,201,100,26,51.8,281,39.9
  231=,  244=,Novosibirsk State University,Russia,M,CO,VH,4,A,30,282,26.4,355,93.8,67,16.4,601+,11.6,601+,49.1,294,39.8
  231=,  214=,"University of Illinois, Chicago (UIC)",United States,L,FC,VH,5,A,46.4,170,33.7,285,43.6,349,36.4,372,12.7,601+,22.6,498,39.8
233,229,University of Calgary,Canada,XL,FC,VH,4,A,34.1,246,39,243,30.6,497,43.2,297,84.5,194,61.2,227,39.7
  234=,235,Saint-Petersburg State University,Russia,L,FC,VH,5,A,38.6,215,31.3,305,87.9,93,6,601+,6.9,601+,35.8,380,39.6
  234=,  272=,Universidad de Los Andes Colombia,Colombia,L,FC,HI,4,B,54.4,139,87.9,56,27.6,543,8.1,601+,32.1,445,3.1,601+,39.6
  234=,249,Universit‡ degli Studi di Padova (UNIPD),Italy,XL,FC,VH,5,A,55.1,136,38.7,245,13.3,601+,49.8,233,12.5,601+,6.1,601+,39.6
237,  250=,Macquarie University,Australia,L,FC,VH,4,A,30.6,271,47.3,184,23.6,598,40.5,323,96.5,120,95.8,75,39.5
238,  250=,RMIT University,Australia,XL,CO,VH,3,A,37.1,222,63.1,117,12.3,601+,29.2,444,100,39,93.2,95,39.2
  239=,211,Maastricht University,Netherlands,L,CO,VH,3,A,22.1,380,22.1,420,24.6,583,65.1,119,97.4,111,100,15,39
  239=,  239=,Queen's University,Canada,L,FC,VH,5,A,36.2,228,69.9,98,8.7,601+,53.5,191,72.8,240,25.4,479,39
  239=,  223=,University of Leicester,United Kingdom,L,FC,VH,4,A,24.6,342,18.5,493,44.5,342,48.5,246,83.1,203,89.1,112,39
242,  221=,Sciences Po Paris,France,M,SP,VH,5,A,22.3,377,32.6,294,89.1,85,5.1,601+,56,312,99.2,37,38.9
243,255,Rheinische Friedrich-Wilhelms-Universit‰t Bonn,Germany,XL,FC,VH,5,A,49.6,159,16.7,501+,46.6,317,22.3,517,40.9,388,26.4,467,38.8
244,  237=,American University of Beirut (AUB),Lebanon,M,FC,VH,5,B,24.6,341,52.9,154,63.1,228,15.2,601+,90.2,166,64.6,212,38.7
245,  242=,Universidad de Navarra,Spain,M,FC,VH,4,B,31,267,75.1,86,44.1,343,25.8,477,21.6,530,68.1,192,38.5
246,227,University of Sussex,United Kingdom,L,FC,HI,4,A,28.7,297,11,501+,29.3,516,51.2,218,96.9,117,95.6,78,38.4
  247=,271,Chulalongkorn University,Thailand,XL,FC,HI,5,A,62.4,108,56.5,141,25.6,573,8.5,601+,11.5,601+,2.5,601+,38.3
  247=,  264=,Kyung Hee University,South Korea,L,FC,VH,4,B,27.1,310,32.4,298,87.8,94,18.4,578,15.2,601+,41.1,338,38.3
250,263,Ecole des Ponts ParisTech,France,S,FO,VH,5,A,8.7,501+,53.9,149,92.1,73,20.2,553,27.1,484,99.7,31,37.8
  251=,  257=,National Taiwan University of Science and Technology,Taiwan,M,FO,VH,3,A,24.4,346,30.6,316,64.2,221,43.6,291,24.3,508,36.7,374,37.6
  251=,  239=,UniversitÈ Libre de Bruxelles (ULB),Belgium,L,FC,VH,5,A,33.8,253,58.6,133,11,601+,38,347,71.3,246,95.5,79,37.6
  253=,  237=,Tufts University,United States,M,FC,VH,5,B,20.2,410,9.8,501+,78.9,149,45.7,272,29.4,464,38.5,354,37.5
  253=,  275=,Universidad Nacional de Colombia,Colombia,XL,FC,HI,5,A,61.5,112,89.7,50,11.1,601+,5.3,601+,8.3,601+,1.3,601+,37.5
  253=,,University of Paris,France,XL,,,1,,48.5,161,7.6,501+,33.5,457,46.1,265,19.1,558,7.5,601+,37.5
256,  269=,University of Gothenburg,Sweden,L,FC,VH,5,A,37.7,220,12.2,501+,57.1,259,32,417,43.7,368,17.6,562,37.3
  257=,247,Technion - Israel Institute of Technology,Israel,L,FC,VH,5,A,28.4,299,34.7,276,24.6,584,69.5,96,64,275,3.8,601+,37.2
  257=,  257=,Wuhan University,China,XL,FC,VH,5,A,38,217,51.3,166,21.7,601+,46.5,259,50.7,332,10.7,601+,37.2
259,  260=,"National University of Ireland, Galway (NUIG)",Ireland,L,FC,HI,5,A,22.4,372,24.4,385,73.7,176,16.1,601+,90.9,163,61.1,230,37.1
260,  253=,Technische Universit‰t Darmstadt,Germany,L,FO,VH,5,A,20,414,71.1,96,6.5,601+,72.9,81,51.9,325,65,207,37
261,  277=,Hong Kong Baptist University (HKBU),Hong Kong,M,FC,VH,3,A,18.6,446,15.4,501+,41.5,371,49.8,230,99.9,61,90.4,109,36.9
  262=,  283=,"Rutgers - The State University of New Jersey, New Brunswick",United States,XL,CO,VH,5,A,39.4,207,32,300,49.3,307,23.3,504,27.1,482,36.6,375,36.8
  262=,  239=,UniversitÈ Paris-Sud 11,France,L,CO,VH,5,A,27.1,311,13,501+,80.4,142,21.3,535,42.9,374,40.3,344,36.8
  262=,246,University of Arizona,United States,XL,FC,VH,5,A,41.9,189,20.1,458,37.6,414,41.9,313,21.7,529,17.5,563,36.8
265,291,Tongji University,China,XL,FC,VH,5,A,32.2,260,9.6,501+,26.2,568,58.4,153,89.1,175,27.9,453,36.7
  266=,  279=,Universit‰t Innsbruck,Austria,L,FC,HI,5,A,20.4,406,19.9,462,66.1,214,16,601+,98.4,92,99.3,36,36.6
  266=,274,University of Waikato,New Zealand,M,CO,VH,4,A,19.7,421,17.8,501+,14.9,601+,75.3,72,97.8,106,78.3,152,36.6
  268=,  315=,Khalifa University,United Arab Emirates,S,SP,VH,2,A,9.3,501+,9.7,501+,77.3,158,42.2,307,100,9,55.6,264,36.5
  268=,  277=,Tomsk State University,Russia,M,CO,VH,5,A,20.5,405,17.3,501+,99.8,29,4.5,601+,23.4,517,88.9,113,36.5
270,  260=,University of Tsukuba,Japan,L,FC,VH,3,A,35,238,13.1,501+,70.3,193,22.3,519,16,600,30.4,428,36.3
  271=,309,Deakin University,Australia,XL,FC,VH,3,A,30.1,280,44.2,208,6.4,601+,47.6,254,97.1,114,77,156,36.1
  271=,  264=,Indian Institute of Technology Madras (IITM),India,M,CO,VH,4,A,35.3,236,47.3,183,28,540,56.4,168,3.4,601+,1.6,601+,36.1
  271=,  242=,University of Miami,United States,L,FC,VH,4,B,22.2,378,23.8,392,62.7,230,49.2,240,7.6,601+,39.4,347,36.1
  274=,  264=,University of South Australia (UniSA),Australia,L,CO,VH,3,A,25.1,329,19.9,460,27.5,545,51.9,207,100,25,58.2,244,35.9
  274=,248,University of Surrey,United Kingdom,L,CO,VH,4,A,22.5,370,29.3,323,25.4,574,45.3,276,96.6,119,97,62,35.9
276,  332=,Qatar University,Qatar,M,FC,VH,3,A,16.9,484,28.3,332,66.4,211,14.3,601+,100,11,98.3,51,35.8
  277=,  292=,Beijing Normal University,China,L,CO,VH,5,A,39,211,12.3,501+,31.2,485,48.6,245,23.6,514,31.4,416,35.7
  277=,  285=,Harbin Institute of Technology,China,XL,FO,VH,4,A,21.8,383,7.3,501+,52.6,286,72.9,80,10.8,601+,10,601+,35.7
279,  260=,Universit‰t Stuttgart,Germany,L,CO,VH,5,A,26,322,55,145,8.2,601+,65.9,114,34.2,433,61.2,229,35.6
280,  279=,Dalhousie University,Canada,L,FC,VH,5,A,19.1,436,19.1,481,23.7,595,61.8,136,100,53,73.4,173,35.4
  281=,  295=,Indian Institute of Technology Kharagpur (IITKGP),India,M,FO,VH,4,A,26.6,317,41.1,231,21.6,601+,78.4,62,5.3,601+,1,601+,35.2
  281=,256,King Saud University (KSU),Saudi Arabia,XL,FC,VH,4,A,28.3,301,16.8,501+,69,198,15.9,601+,91.5,157,11.3,601+,35.2
  281=,  289=,University of Ottawa,Canada,XL,FC,VH,5,A,25.2,328,37.2,254,7.6,601+,62,133,91.3,159,56.7,255,35.2
284,  299=,Bauman Moscow State Technical University,Russia,L,CO,HI,5,A,21,392,53.4,151,100,17,1.2,601+,8.5,601+,12.4,601+,35.1
  285=,  279=,North Carolina State University,United States,XL,CO,VH,5,A,32,261,19.7,465,30.3,503,47.8,252,60.7,288,29.1,438,35
  285=,298,Universitat Pompeu Fabra,Spain,M,CO,VH,3,A,31.6,262,30.9,310,17.3,601+,55.6,178,66.3,263,25.8,473,35
  287=,  332=,Massey University,New Zealand,M,CO,VH,4,A,29.1,292,30.7,314,24.3,585,27.7,452,98.6,87,94.8,83,34.9
  287=,  292=,National Yang Ming University,Taiwan,S,FC,VH,3,A,14.4,501+,16.9,501+,99.9,28,33.2,402,5.8,601+,7.8,601+,34.9
  287=,  295=,Sun Yat-sen University,China,XL,FC,VH,4,A,35.3,235,33.2,288,49.7,306,32.2,416,11.4,601+,7.6,601+,34.9
  287=,  285=,University of Turku,Finland,L,FC,VH,4,A,26.1,319,41.4,227,60,240,32.9,408,27.2,481,5.7,601+,34.9
  291=,  317=,Charles University,Czech Republic,XL,FC,VH,5,A,41.6,191,37.5,252,43.2,355,11.7,601+,19.4,555,46.6,306,34.8
  291=,  283=,Indian Institute of Technology Kanpur (IITK),India,M,CO,VH,4,A,29.9,284,32.4,297,14.1,601+,82.3,49,1.9,601+,1.3,601+,34.8
  291=,236,Royal Holloway University of London,United Kingdom,M,CO,VH,5,A,18.6,447,12.4,501+,26.8,557,55,181,98,102,95.2,82,34.8
  291=,  279=,Universit‰t Frankfurt am Main,Germany,XL,FC,VH,5,A,49.9,157,36.8,259,23.7,594,19,567,15.8,601+,33.5,403,34.8
  291=,287,University of Tasmania,Australia,L,CO,VH,5,A,21,394,10.1,501+,21.1,601+,58.6,152,90.8,165,96.2,70,34.8
  296=,  292=,University of Indonesia,Indonesia,XL,FC,HI,5,A,39.5,205,47.3,186,43.4,353,1.9,601+,94.5,135,5,601+,34.7
  296=,268,University of Strathclyde,United Kingdom,L,CO,VH,4,A,26.1,321,47.5,180,26.4,562,28.2,449,94,138,75.4,161,34.7
  298=,  253=,Universidad Carlos III de Madrid,Spain,L,FO,VH,3,A,30.5,275,51.5,163,60.7,238,9.7,601+,36.5,418,25.2,481,34.6
  298=,  323=,Universiti Brunei Darussalam (UBD),Brunei,S,CO,VH,3,A,13.4,501+,6.2,501+,94.9,61,6.2,601+,100,47,66.2,201,34.6
300,  275=,Universitat PolitËcnica de Catalunya,Spain,L,CO,VH,3,A,34.7,240,35.2,270,53.1,282,22.1,521,10.4,601+,28.8,440,34.5
301,  321=,University of Tartu,Estonia,M,FC,VH,5,A,23.7,355,21.9,427,82.7,130,17.8,591,27.2,480,23.3,492,34.4
  302=,312,Moscow Institute of Physics and Technology State University,Russia,M,FO,VH,4,A,14.9,501+,27.8,336,97.9,46,11.4,601+,32.7,440,39.3,349,34.3
  302=,325,Universit‡ degli Studi di Milano,Italy,XL,FC,VH,4,A,48.4,162,23.3,400,10.7,601+,46.8,258,10.8,601+,8.3,601+,34.3
  302=,  272=,University of Dundee,United Kingdom,L,FC,HI,4,A,19.1,437,10.2,501+,67.2,207,24.2,489,86.5,185,58.3,243,34.3
  305=,  299=,UniversitÈ Paris 1 PanthÈon-Sorbonne,France,XL,FO,HI,5,A,58.3,127,48.2,177,5.5,601+,3.6,601+,21,538,61.2,228,34.2
  305=,259,"University of Massachusetts, Amherst",United States,L,CO,VH,5,A,42.1,186,16.6,501+,18.1,601+,51.3,216,16.2,597,18,553,34.2
307,  313=,Xi'an Jiaotong University,China,XL,FC,VH,5,A,24.8,337,28.4,330,43.8,345,54,188,20.9,539,11.6,601+,34.1
308,  306=,Universit‰t Kˆln,Germany,XL,FC,VH,5,A,38.2,216,42.9,217,28.6,525,20.4,550,53.2,320,37.7,363,34
309,288,"SOAS - School of Oriental and African Studies, University of London",United Kingdom,S,SP,VH,5,A,22.6,368,11.8,501+,47.5,312,20.3,551,100,45,100,17,33.9
310,  338=,University College Cork (UCC),Ireland,L,FC,VH,5,A,28.8,295,30,319,36.1,431,24.1,493,93,146,46.8,304,33.7
311,  363=,Technische Universit‰t Graz,Austria,M,FO,VH,,,12.8,501+,11.2,501+,88.4,88,17.4,600,67.1,261,54.5,268,33.6
  312=,305,ENS Paris-Saclay,France,S,CO,VH,5,A,15.1,501+,8.6,501+,91.4,75,25.9,473,29.1,470,31.8,414,33.5
  312=,  323=,Indiana University Bloomington,United States,XL,FC,VH,5,A,40.7,198,24.5,384,30.5,499,25.4,480,45.3,356,24.6,482,33.5
  314=,  302=,Heriot-Watt University,United Kingdom,M,CO,VH,4,A,15.3,501+,31.5,303,28.3,535,43,301,99.5,70,95.3,81,33.4
  314=,380,Mahidol University,Thailand,L,FC,VH,4,A,38.9,212,33.2,289,61.4,236,6.7,601+,8.9,601+,5.9,601+,33.4
  314=,  264=,Simon Fraser University,Canada,L,CO,VH,4,A,23.7,354,23,407,6.4,601+,55.5,180,91.7,155,91.5,102,33.4
  314=,  338=,Universit‰t Mannheim,Germany,M,FO,VH,5,A,18,462,63.6,114,6.7,601+,76.2,69,35.2,426,27.8,454,33.4
  314=,  269=,University of East Anglia (UEA),United Kingdom,L,FC,HI,4,A,19.2,432,8.8,501+,37.8,411,47.9,251,81.2,212,71.1,179,33.4
319,  299=,Universit‰t Erlangen-N¸rnberg,Germany,XL,FC,VH,5,A,22.3,376,19.3,478,3.4,601+,95.3,20,27.1,485,25.4,478,33.3
  320=,  329=,Griffith University,Australia,XL,FC,VH,3,A,27.3,309,23.2,404,13.2,601+,51.2,219,98.9,84,41.1,339,33.2
  320=,  391=,Universitas Gadjah Mada,Indonesia,XL,FC,MD,4,A,41.3,193,36.7,262,51.3,297,1.6,601+,42.9,375,2.5,601+,33.2
  322=,  315=,Gwangju Institute of Science and Technology (GIST),South Korea,S,FO,VH,3,A,11,501+,3.9,501+,36.8,425,100,5,10.1,601+,7.2,601+,33.1
  322=,  343=,National Research University - Higher School of Economics (HSE),Russia,XL,FO,VH,3,A,22.6,367,33,291,94.8,62,2.1,601+,9.6,601+,16.7,573,33.1
  324=,  343=,Aalborg University,Denmark,L,FC,VH,3,A,17.5,476,32.5,295,44.7,339,43.5,292,69.8,252,30.8,422,33
  324=,  302=,Linkˆping University,Sweden,L,CO,VH,4,A,19.7,422,24.9,379,40.3,383,51.5,210,65.9,264,17.8,555,33
326,  302=,University of Hawaii at M?Ånoa,United States,L,FC,VH,5,A,16.6,495,9.3,501+,59,247,46.9,256,61.4,286,20,534,32.9
327,  338=,Virginia Polytechnic Institute (Virginia Tech),United States,XL,FC,VH,5,A,29.5,288,36.9,257,29.9,509,37.4,355,43.8,367,29.3,436,32.7
328,  306=,"Birkbeck College, University of London",United Kingdom,M,FO,VH,5,A,14.4,501+,5.3,501+,22.8,601+,60,143,96.1,121,96.9,64,32.6
  329=,  329=,"National Research Nuclear University ""MEPhI"" (Moscow Engineering Physics Institute)",Russia,M,FO,VH,4,A,9.8,501+,14.7,501+,97.6,48,6.7,601+,46.2,350,74.1,170,32.4
  329=,350,United Arab Emirates University,United Arab Emirates,M,FC,HI,3,A,20.4,407,27.2,345,58.1,252,11.8,601+,100,12,48.4,299,32.4
  331=,  359=,Bandung Institute of Technology (ITB),Indonesia,L,CO,VH,4,A,39.3,209,39.8,236,51.3,296,3.7,601+,29.2,465,1.6,601+,32.3
  331=,  319=,Ewha Womans University,South Korea,L,FC,HI,5,B,22.4,371,16.5,501+,82.7,129,13.3,601+,10.5,601+,36.9,371,32.3
  331=,308,National Taiwan Normal University,Taiwan,M,CO,VH,4,A,28.8,296,11.4,501+,70.8,191,11,601+,15.1,601+,49,296,32.3
334,  321=,Hiroshima University,Japan,L,FC,VH,4,A,24.1,348,9.7,501+,84.1,122,15.4,601+,13.8,601+,17.1,567,32.2
335,,IE University,Spain,M,CO,LO,2,C,7.6,501+,49.2,173,71.8,186,1.2,601+,88.6,178,100,11,32.1
  336=,  345=,George Washington University,United States,L,FC,VH,5,B,27.6,305,26.1,361,36.9,424,31.9,421,37.5,412,53,275,32
  336=,  310=,Universidad Politecnica de Valencia,Spain,L,CO,VH,4,A,22.8,365,17.7,501+,80.8,141,18.3,584,5.8,601+,18.8,543,32
  338=,411,Jagiellonian University,Poland,XL,FC,HI,5,A,33.8,252,39.5,239,59.3,244,6.5,601+,4.8,601+,17.6,561,31.9
  338=,  355=,University of Lisbon,Portugal,XL,FC,VH,1,A,40.5,199,28.1,335,15.6,601+,38.2,342,8,601+,32.5,409,31.9
  340=,  338=,UmeÂ University,Sweden,L,FC,VH,4,A,18.5,452,8.7,501+,81.4,137,25.2,483,29.6,461,13.2,601+,31.8
  340=,  326=,Universit‰t Jena,Germany,L,FC,VH,5,A,18.8,442,3.7,501+,98,45,14,601+,,,28.6,443,31.8
  340=,  332=,Universit‰t Ulm,Germany,M,CO,VH,4,A,7.8,501+,7,501+,82.9,127,37.2,363,48.8,340,28.2,451,31.8
  340=,  313=,University at Buffalo SUNY,United States,L,FC,VH,5,A,19.1,435,12.5,501+,9.1,601+,70.4,92,86.2,187,52.2,279,31.8
  344=,  326=,Northeastern University,United States,L,CO,VH,5,B,18.9,441,18.2,495,20.6,601+,45.5,273,85.3,192,93.8,89,31.7
  344=,  369=,Pontificia Universidad CatÛlica Argentina Santa MarÌa de los Buenos Aires (UCA),Argentina,L,FC,LO,4,B,17.7,471,44.3,206,95.3,59,1.1,601+,2.9,601+,13.2,601+,31.7
346,  336=,University of Jyv‰skyl‰,Finland,M,CO,VH,4,A,17,482,5.9,501+,87.2,96,22.1,522,39.3,402,5.9,601+,31.6
347,  329=,Westf‰lische Wilhelms-Universit‰t M¸nster,Germany,XL,FC,VH,5,A,34.8,239,31.2,306,42.2,364,20,556,25.8,493,9.4,601+,31.3
348,  387=,Politecnico di Torino,Italy,XL,FO,VH,5,A,32.6,258,51.5,164,3.2,601+,53,197,3.9,601+,30.1,431,31.2
  349=,351,"City, University of London",United Kingdom,L,CO,VH,5,A,15.5,501+,19.5,468,11.2,601+,54.2,187,95.7,126,98.7,45,31.1
  349=,  394=,University of Warsaw,Poland,XL,CO,VH,5,A,40.3,202,47.1,188,38.7,401,6.8,601+,9.2,601+,12,601+,31.1
  351=,354,Belarus State University,Belarus,L,FO,HI,4,A,18,461,32.4,296,94.2,63,1.7,601+,5.5,601+,20.6,523,31
  351=,  289=,UniversitÈ Grenoble-Alpes (UGA),France,XL,FC,VH,1,A,44.7,178,9.3,501+,13.4,601+,33.2,401,25.1,499,30.8,421,31
  353=,328,University of Porto,Portugal,L,FC,VH,5,A,37,224,24.2,387,16.1,601+,47.4,255,5.5,601+,12.7,601+,30.9
  353=,  345=,University of Utah,United States,L,FC,VH,5,A,16.9,487,8.1,501+,61.9,235,45,279,25.3,497,12.1,601+,30.9
355,,"University of Chemistry and Technology, Prague",Czech Republic,S,FO,VH,5,A,6.5,501+,5.8,501+,97.8,47,18.2,585,24.5,507,62.1,223,30.8
  356=,  317=,Lincoln University,New Zealand,S,CO,VH,5,A,8.7,501+,10,501+,44,344,37.9,349,95.9,124,98.8,43,30.7
  356=,  384=,University of the Philippines,Philippines,XL,FC,MD,5,A,34.2,242,39.5,240,62,234,2.1,601+,1.8,601+,1.5,601+,30.7
358,361,Universidade Federal do Rio de Janeiro,Brazil,XL,FC,VH,4,A,53.8,142,19.6,466,21.3,601+,11.5,601+,7,601+,2,601+,30.6
  359=,  332=,Brunel University,United Kingdom,L,CO,VH,4,A,11.6,501+,14.6,501+,15.4,601+,56.6,167,99.3,73,97.7,57,30.5
  359=,  363=,Norwegian University of Science and Technology,Norway,XL,FC,VH,5,A,30.2,279,26.3,356,30.9,491,26.9,457,70,251,12.8,601+,30.5
  359=,349,Stony Brook University,United States,L,FC,VH,4,A,20.9,395,9.6,501+,35.3,443,39.7,328,42.9,376,79.1,148,30.5
  359=,  352=,Tokyo Medical and Dental University,Japan,S,FO,VH,4,A,11.2,501+,5,501+,100,11,21.8,527,3.6,601+,16.7,572,30.5
  359=,  310=,Yeshiva University,United States,M,FC,VH,5,B,2.6,501+,3.3,501+,99.3,39,42.9,302,,,11.6,601+,30.5
  364=,  359=,University of Victoria,Canada,L,CO,VH,4,A,16,501+,10.7,501+,5.9,601+,72.2,84,92.4,150,51.1,284,30.4
  364=,  412=,Ural Federal University,Russia,L,CO,VH,4,A,17.7,470,14.6,501+,94,65,2.1,601+,15.7,601+,34.7,392,30.4
366,  355=,Moscow State Institute of International Relations ñ MGIMO University,Russia,M,SP,MD,4,A,9.9,501+,25.7,371,99.9,26,1.1,601+,15.6,601+,54.7,267,30.3
367,  336=,"University of California, Santa Cruz (UCSC)",United States,L,CO,VH,4,A,19.8,419,7.9,501+,11.9,601+,79.2,58,44.8,362,18.7,546,30.2
  368=,  338=,Nankai University,China,L,FC,VH,5,A,22.3,375,5.4,501+,28.4,532,63.2,127,30.9,452,8,601+,29.8
  368=,  355=,University of Kent,United Kingdom,L,CO,VH,4,A,20.3,408,10.4,501+,22.6,601+,36.7,367,98.2,101,74.5,166,29.8
370,  355=,University of Essex,United Kingdom,L,CO,HI,4,A,19.3,429,9,501+,13.2,601+,41.9,314,99.7,63,99.4,35,29.7
371,  376=,American University of Sharjah,United Arab Emirates,S,FC,HI,2,B,18.3,456,35.1,272,30.2,504,13.4,601+,100,8,100,5,29.6
  371=,  319=,Tilburg University,Netherlands,M,FO,VH,4,A,15,501+,24.1,388,12.4,601+,62.5,132,84.2,196,38.7,352,29.6
  372=,  367=,University of Kansas,United States,L,FC,VH,5,A,15.3,501+,15.6,501+,82.5,131,18.5,576,14.7,601+,14.1,601+,29.4
  372=,  376=,University of Southern Denmark,Denmark,L,FO,VH,4,A,19.3,430,18.4,494,39.9,385,32.2,414,73.6,237,33,405,29.4
374,  376=,University of Oulu,Finland,M,FC,VH,4,A,16.2,501+,21.2,435,45,333,44.7,281,43.1,370,9.2,601+,29.3
375,  397=,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,S,FO,VH,2,A,5.4,501+,4.6,501+,96.4,55,36.2,375,,,,,29.2
