2018,2017,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
  164=,156,"UNIVERSITY OF CALIFORNIA, IRVINE (UCI)",United States,XL,FC,VH,4,A,54,174,29.4,401+,14,401+,89.2,43,51.3,304,84.4,127,52.1
167,181,UNIVERSITY OF BERN,Switzerland,M,CO,VH,5,A,38.1,274,43.2,296,37.7,342,88.4,45,100,35,40.8,347,51.9
168,176,UNIVERSITY COLLEGE DUBLIN (UCD),Ireland,L,FC,VH,5,A,53.4,179,69.4,133,28,401+,48.4,252,95.7,110,60.2,239,51.5
169,158,DARTMOUTH COLLEGE,United States,M,FC,VH,5,B,31.4,346,49.1,242,86.3,91,70.5,106,4.7,401+,41.5,343,51.3
170,  183=,POLITECNICO DI MILANO,Italy,XL,FO,VH,5,A,63.9,138,93.4,53,6.5,401+,53.1,204,36.9,358,42.4,331,50.9
171,163,UNIVERSITƒT FREIBURG,Germany,L,FC,VH,5,A,61.6,152,37.8,343,31.2,401+,53.8,201,56.2,279,48.4,299,50.8
172,  185=,INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),India,M,CO,VH,4,A,54.9,172,71.1,125,15.3,401+,91.2,39,2,401+,2,401+,50.7
  173=,189,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),Saudi Arabia,M,CO,VH,4,A,35.7,299,40.5,316,94.9,56,27.6,401+,100,24,46.6,311,50.3
  173=,157,UNIVERSITY OF LIVERPOOL,United Kingdom,L,FC,VH,5,A,45.4,222,47.5,259,53,264,38.7,330,82.3,185,96.5,67,50.3
  173=,172,UNIVERSITY OF VIRGINIA,United States,L,FC,VH,5,A,47.7,207,49.2,239,60.6,217,53.3,203,50.7,307,17.5,401+,50.3
176,193,UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),Australia,L,CO,VH,3,A,50.7,191,87,73,11.5,401+,45.8,275,97.2,96,94.5,81,50.1
177,  164=,CENTRALESUP…LEC,France,S,FO,VH,5,A,24.7,401+,100,6,79.4,123,31.8,398,64.4,243,90.2,97,50
178,  185=,UNIVERSITY OF FLORIDA,United States,XL,FC,VH,5,B,58.6,157,37.5,346,63.1,201,39.2,327,18.2,401+,21.7,401+,49.8
  179=,219,INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),India,M,CO,VH,4,A,62.3,149,77.9,102,32.1,401+,50.8,226,3.7,401+,2,401+,49.7
  179=,  177=,UNIVERSITY OF TWENTE,Netherlands,M,FO,VH,4,A,28.9,379,28.2,401+,42.7,316,92.2,35,88,156,76.8,161,49.7
181,  177=,GEORG-AUGUST-UNIVERSITƒT G÷TTINGEN,Germany,XL,FC,VH,5,A,62.2,150,32.5,401+,64.7,195,23.9,401+,43.8,334,29.6,401+,49.6
  182=,  183=,TECHNISCHE UNIVERSITƒT WIEN,Austria,L,FO,VH,5,A,39.8,258,75.6,111,6.2,401+,83.7,53,67.2,231,91.2,93,49.5
  182=,  191=,UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),Brazil,L,FC,VH,4,A,76.9,89,73.4,120,22.8,401+,30,401+,9.5,401+,5.5,401+,49.5
  182=,170,UNIVERSITY OF COLORADO AT BOULDER,United States,XL,CO,VH,5,A,47,211,43.7,286,65.6,190,52,214,36.7,359,17.7,401+,49.5
  182=,182,VRIJE UNIVERSITEIT BRUSSEL (VUB),Belgium,M,FC,VH,5,A,34.5,311,41.3,312,98.2,40,23.8,401+,79.4,196,61.9,230,49.5
186,  185=,UNIVERSITY OF ROCHESTER,United States,M,FC,VH,5,B,32.1,334,9.9,401+,100,16,42.6,297,47.3,317,90,100,49.3
187,  210=,UNIVERSIDAD AUT”NOMA DE MADRID,Spain,L,FC,VH,3,A,65.7,133,74.1,117,43.4,312,24.7,401+,11.7,401+,24.3,401+,49.2
  188=,208,UNIVERSIT¿ DI BOLOGNA (UNIBO),Italy,XL,FC,VH,5,A,81.5,77,62.9,157,8.4,401+,36.9,347,8.7,401+,11.5,401+,49.1
  188=,175,UNIVERSITY OF READING,United Kingdom,L,CO,VH,5,A,39.4,262,55.8,195,41.3,324,51.6,220,88.1,154,92.5,90,49.1
190,  152=,INDIAN INSTITUTE OF SCIENCE BANGALORE,India,S,SP,VH,5,A,38.3,272,22.3,401+,56.1,244,100,6,,,2.1,401+,49
191,  191=,UNIVERSITY OF CAPE TOWN,South Africa,L,FC,VH,5,A,60.2,155,55.1,197,32.9,395,35.9,356,59.2,268,49.2,296,48.9
  192=,  216=,KEIO UNIVERSITY,Japan,XL,FC,VH,5,B,63,143,80.2,93,60.7,215,9.4,401+,11.9,401+,11.3,401+,48.5
  192=,,SCUOLA NORMALE SUPERIORE,Italy,S,FO,VH,,,20.8,401+,11.1,401+,91.2,73,98.3,18,2.4,401+,18.2,401+,48.5
  192=,,SCUOLA SUPERIORE SANT'ANNA PISA,Italy,S,FC,VH,3,,18.8,401+,18.7,401+,86.3,90,96,27,2,401+,49.8,291,48.5
  195=,  196=,STOCKHOLM UNIVERSITY,Sweden,L,CO,VH,5,A,65.8,132,27.9,401+,24.4,401+,49.2,243,64.3,244,19.1,401+,48.1
  195=,  210=,TECHNISCHE UNIVERSITƒT DRESDEN,Germany,XL,FC,VH,5,A,41.5,249,77,105,6.8,401+,79,71,92.4,131,38.5,366,48.1
  195=,  160=,TEXAS A&M UNIVERSITY,United States,XL,FC,VH,5,A,69.7,117,54.1,206,10.2,401+,57,175,10.4,401+,15.5,401+,48.1
  195=,  203=,UNIVERSITAT AUT”NOMA DE BARCELONA,Spain,XL,FC,VH,3,A,72.1,107,41.5,310,19,401+,43.7,289,21.5,401+,28.6,401+,48.1
199,  206=,TECNOL”GICO DE MONTERREY (ITESM),Mexico,L,FC,MD,4,B,42.8,233,84.9,81,77.1,135,3.7,401+,98.4,71,23.2,401+,48
200,173,MAASTRICHT UNIVERSITY,Netherlands,L,CO,VH,3,A,30.8,356,39,329,35.4,370,73.3,95,95.9,107,100,16,47.9
201,200,UNIVERSIDAD DE CHILE,Chile,XL,FC,HI,5,A,82.7,74,85.1,78,13,401+,12.8,401+,9.7,401+,9,401+,47.8
202,195,QUEEN'S UNIVERSITY OF BELFAST,United Kingdom,L,FC,VH,5,A,35.2,304,50.5,227,41.7,323,50.9,224,98.8,66,94.5,82,47.4
203,201,WASEDA UNIVERSITY,Japan,XL,CO,VH,5,B,69,120,89,63,29.9,401+,7.6,401+,28.3,401+,34.2,389,47.2
204,190,RADBOUD UNIVERSITY NIJMEGEN,Netherlands,L,FC,VH,4,A,38.6,269,14.7,401+,55.5,249,73.6,94,44.7,329,40.4,351,47.1
  205=,212,TEL AVIV UNIVERSITY,Israel,L,FC,VH,4,A,49.1,198,45.5,276,8.3,401+,96,26,29.7,401+,7.9,401+,47
  205=,  216=,UNIVERSIT… LIBRE DE BRUXELLES (ULB),Belgium,L,FC,VH,5,A,46.2,216,67,138,17.5,401+,44.4,282,91.7,133,95.3,79,47
  207=,174,NATIONAL CHIAO TUNG UNIVERSITY,Taiwan,M,CO,VH,5,A,33.3,320,38.4,336,49.5,275,76.8,80,35.2,367,53.1,271,46.9
  207=,  187=,"UNIVERSITY OF ILLINOIS, CHICAGO (UIC)",United States,L,FC,VH,5,A,55,171,33.1,399,36.2,359,46.9,263,35.4,366,61.1,235,46.9
209,222,ARIZONA STATE UNIVERSITY,United States,XL,CO,VH,5,A,51.4,186,34.2,383,11.2,401+,73,99,51,305,64,217,46.7
  210=,209,UNIVERSITY OF ANTWERP,Belgium,L,FC,VH,3,A,35,305,38,339,93,64,22.6,401+,65.3,239,45.7,313,46.6
  210=,198,WESTERN UNIVERSITY,Canada,L,FC,VH,5,A,39.2,263,69.3,134,10.8,401+,72.1,100,99.1,62,47.6,306,46.6
212,  203=,VANDERBILT UNIVERSITY,United States,L,FC,VH,5,B,35.8,297,25.3,401+,100,5,33.4,376,21.7,401+,36,383,46.5
213,202,CASE WESTERN RESERVE UNIVERSITY,United States,M,FC,VH,5,B,25.4,401+,12.3,401+,97.8,46,54.9,195,25.4,401+,61.4,232,46.4
214,  214=,UNIVERSITY OF CANTERBURY,New Zealand,M,CO,VH,5,A,47.1,210,48.5,246,14.9,401+,56.8,178,99,63,64.7,211,46.3
215,  223=,SAPIENZA - UNIVERSIT¿ DI ROMA,Italy,XL,FC,VH,5,A,78.2,86,49.5,233,4,401+,40.1,318,6,401+,12.7,401+,46.1
216,  203=,UNIVERSITY OF NOTRE DAME,United States,L,CO,VH,5,B,36.3,290,34.1,385,42.3,319,72,101,79.3,198,20.5,401+,45.9
217,  196=,UNIVERSITY OF CALGARY,Canada,XL,FC,VH,4,A,42.8,232,56.9,189,35,374,43.5,290,82.5,182,61.3,233,45.8
218,199,VRIJE UNIVERSITEIT AMSTERDAM,Netherlands,L,FC,VH,5,A,50.5,192,43.5,292,35.8,364,55.8,188,38.2,354,14.5,401+,45.6
219,  228=,VICTORIA UNIVERSITY OF WELLINGTON,New Zealand,L,CO,VH,5,A,54,173,41.6,308,12.8,401+,45.8,274,100,46,58.7,247,45.5
220,220,SCIENCES PO PARIS,France,M,SP,VH,5,A,31.6,342,72.1,122,82.5,109,3.8,401+,62.2,250,98.5,48,45.2
221,227,KING SAUD UNIVERSITY (KSU),Saudi Arabia,XL,FC,VH,4,A,35.9,296,37.7,345,89.3,79,13.2,401+,98.3,73,17.3,401+,44.5
222,  241=,NATIONAL CHENG KUNG UNIVERSITY,Taiwan,L,FC,VH,4,A,49.9,194,42,304,40.2,329,49.3,242,16.1,401+,26.7,401+,44.3
223,232,UNIVERSITƒT HAMBURG,Germany,XL,FC,VH,4,A,56.6,166,44,283,51.7,269,21,401+,23,401+,26.6,401+,44.2
  224=,  223=,QUEEN'S UNIVERSITY,Canada,L,FC,VH,5,A,43.9,225,70.5,129,9.6,401+,61.9,151,73.8,212,25.6,401+,44
  224=,213,TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,Israel,L,FC,VH,5,A,40.6,254,40,322,20.9,401+,79.4,70,63.1,246,9.2,401+,44
  224=,  245=,UNIVERSITY OF NEWCASTLE,Australia,L,FC,VH,4,A,40,256,37,349,28.4,401+,49.1,245,99.5,57,74.6,168,44
227,  214=,GEORGETOWN UNIVERSITY,United States,L,FC,HI,5,B,41.8,246,53.2,210,62.5,205,27.5,401+,21.1,401+,52.1,275,43.8
228,  187=,UNIVERSITY OF SUSSEX,United Kingdom,L,FC,HI,4,A,36.6,287,20.9,401+,31.7,401+,54.7,196,94.1,125,97.9,54,43.7
229,270,UNIVERSITI PUTRA MALAYSIA (UPM),Malaysia,L,FC,VH,3,A,49,199,34.4,382,56,246,17.2,401+,43,339,73,174,43.6
  230=,  302=,UNIVERSITI KEBANGSAAN MALAYSIA (UKM),Malaysia,L,FC,VH,3,A,49.6,195,35.1,377,66.5,184,11.9,401+,44.7,330,39.9,356,43.4
  230=,233,UNIVERSITY OF ARIZONA,United States,XL,FC,VH,5,A,51.3,187,28.1,401+,24.1,401+,66.4,127,17.8,401+,19,401+,43.4
232,218,UNIVERSITY OF WOLLONGONG,Australia,L,FC,HI,3,A,33.1,324,49.3,237,20.9,401+,59.4,166,98,78,81.8,140,43.3
233,  239=,UNIVERSIDAD COMPLUTENSE DE MADRID (UCM),Spain,XL,FC,VH,5,A,68.9,121,76.8,106,16.2,401+,14.1,401+,2.7,401+,33.8,393,43.2
234,237,LOUGHBOROUGH UNIVERSITY,United Kingdom,L,FO,VH,4,A,35.3,302,69.2,135,32.1,401+,41.4,309,79,200,66.1,202,43.1
235,  228=,AMERICAN UNIVERSITY OF BEIRUT (AUB),Lebanon,M,FC,HI,5,B,27,401+,83.7,86,64.6,196,12.5,401+,99.2,60,68,192,43
  236=,236,AL-FARABI KAZAKH NATIONAL UNIVERSITY,Kazakhstan,L,CO,MD,4,A,38.6,270,50.8,224,99,36,1.1,401+,30.9,395,14.9,401+,42.9
  236=,  206=,UNIVERSIT… GRENOBLE-ALPES (UGA) ,France,XL,FC,VH,,A,69.5,118,20.3,401+,13.1,401+,38.2,334,20.9,401+,32.5,401+,42.9
238,  239=,UNIVERSITY OF LEICESTER,United Kingdom,L,FC,VH,4,A,28.7,384,28.8,401+,46.2,294,50.9,225,87.1,164,91.1,94,42.8
239,231,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITƒT BONN,Germany,XL,FC,VH,5,A,56.6,165,32.5,401+,47.9,284,23.7,401+,15.3,401+,31.2,401+,42.6
  240=,  247=,MACQUARIE UNIVERSITY,Australia,L,FC,VH,4,A,41.2,251,55.6,196,13.7,401+,47.2,261,85.9,167,78.2,157,42.5
  240=,258,SAINT-PETERSBURG STATE UNIVERSITY,Russia,L,FC,VH,5,A,42.4,237,35.2,376,97.7,48,4,401+,4.1,401+,28.6,401+,42.5
242,  241=,UNIVERSIT… PARIS-SUD 11,France,L,CO,VH,5,A,34.7,307,34,386,78.1,130,24.1,401+,42.5,341,46.7,310,42.3
  243=,  249=,"NATIONAL UNIVERSITY OF IRELAND, GALWAY (NUIG)",Ireland,L,FC,HI,5,A,28.4,392,45.1,277,73.5,153,17.9,401+,89.8,144,66.2,200,42
  243=,238,TUFTS UNIVERSITY,United States,M,FC,VH,5,B,24.1,401+,19.8,401+,66.1,187,62.8,146,56.3,278,33.3,398,42
  245=,  252=,CHULALONGKORN UNIVERSITY,Thailand,XL,FC,HI,5,A,74.5,99,48.1,251,22.3,401+,8.9,401+,14.2,401+,2.7,401+,41.8
  245=,226,SIMON FRASER UNIVERSITY,Canada,L,CO,VH,4,A,31.5,344,30.2,401+,5.7,401+,78,77,94.2,124,91.9,92,41.8
  247=,276,QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),Australia,XL,CO,VH,3,A,46.7,213,63,155,10.6,401+,36.8,348,97.2,95,42.9,328,41.6
  247=,  252=,RMIT UNIVERSITY,Australia,XL,CO,VH,3,A,43.8,227,74.8,115,13.3,401+,23,401+,100,37,84.4,128,41.6
249,251,"UNIVERSITY OF MASSACHUSETTS, AMHERST",United States,L,CO,VH,5,A,51.9,184,29.5,401+,17.4,401+,63.1,144,17.3,401+,14.2,401+,41.5
  250=,  291=,NOVOSIBIRSK STATE UNIVERSITY,Russia,M,CO,VH,4,A,37.6,280,43.6,288,82.4,112,11,401+,7.2,401+,56.3,258,41.3
  250=,225,UNIVERSITY OF TSUKUBA,Japan,L,FC,VH,3,A,42.4,240,29.5,401+,70.7,164,23.8,401+,15.3,401+,32,401+,41.3
252,  252=,UNIVERSITY OF MIAMI,United States,L,FC,VH,4,B,25.4,401+,17.9,401+,85.8,93,46.5,265,7,401+,46.9,309,41.2
253,  288=,UNIVERSITI TEKNOLOGI MALAYSIA (UTM),Malaysia,L,CO,VH,3,A,32.8,327,38.9,330,85.9,92,12.5,401+,35.2,368,51.4,277,41.1
  254=,269,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,XL,FC,HI,5,A,72,108,82.7,88,11.2,401+,4.5,401+,9.6,401+,1.5,401+,40.9
  254=,  264=,UNIVERSITƒT FRANKFURT AM MAIN,Germany,XL,FC,VH,5,A,58.5,158,58.4,180,23.9,401+,20.6,401+,15.9,401+,38.3,370,40.9
  256=,257,BEIJING NORMAL UNIVERSITY ,China,L,CO,VH,5,A,49.3,196,31.1,401+,32,401+,44.5,281,33.3,382,14.7,401+,40.6
  256=,  264=,KYUNG HEE UNIVERSITY,South Korea,L,FC,VH,4,B,34.7,308,61.6,162,71.4,160,21.1,401+,10.2,401+,28.3,401+,40.6
  256=,  272=,UNIVERSIDAD DE LOS ANDES COLOMBIA,Colombia,L,FC,MD,4,B,66,130,77.2,104,17.1,401+,6.5,401+,30.9,396,2.8,401+,40.6
  259=,259,NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Norway,L,FC,VH,5,A,36.4,288,47.9,253,38.4,337,43.9,286,72,217,19.8,401+,40.5
  259=,235,ROYAL HOLLOWAY UNIVERSITY OF LONDON,United Kingdom,M,CO,VH,5,A,24.1,401+,29.1,401+,26.7,401+,63.4,139,98.2,76,99,41,40.5
  259=,263,UNIVERSITƒT STUTTGART,Germany,L,CO,VH,5,A,36.2,292,71.7,124,21,401+,48.8,247,35,371,62,229,40.5
262,  306=,CURTIN UNIVERSITY,Australia,L,CO,VH,3,A,38.7,268,49.1,241,23.4,401+,35,362,100,21,64.7,212,40.4
263,277,NORTH CAROLINA STATE UNIVERSITY,United States,L,CO,VH,5,A,41.3,250,21.5,401+,36,361,46.7,264,60.8,261,40,355,40.3
  264=,  249=,INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),India,M,CO,VH,4,A,41.1,252,51.6,216,23.8,401+,67.6,123,3,401+,1.1,401+,40.2
  264=,243,NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Taiwan,M,FO,VH,3,A,30.1,363,26.2,401+,79.5,122,37.1,345,13.3,401+,28.5,401+,40.2
  264=,  330=,UNIVERSITI SAINS MALAYSIA (USM),Malaysia,L,FC,VH,3,A,48.2,205,43.8,284,46.7,288,22.1,401+,27.2,401+,27.5,401+,40.2
  267=,  283=,KING ABDUL AZIZ UNIVERSITY (KAU),Saudi Arabia,XL,FC,VH,4,A,31.1,352,26.9,401+,67.5,180,15.8,401+,98.9,65,66,204,40.1
  267=,244,UNIVERSITY OF DUNDEE,United Kingdom,M,FC,VH,4,A,23.5,401+,11.6,401+,80.9,115,25.7,401+,87.6,161,74.8,167,40.1
269,  228=,UNIVERSIT… PARIS 1 PANTH…ON-SORBONNE ,France,XL,FO,HI,5,A,63.4,141,78.8,96,4.7,401+,3.9,401+,22.2,401+,77.5,159,40
  270=,268,ECOLE DES PONTS PARISTECH,France,S,FO,VH,5,A,13.4,401+,82.5,89,93,65,9.6,401+,12.6,401+,99.7,28,39.8
  270=,  245=,UNIVERSIDAD DE NAVARRA,Spain,M,FC,VH,4,B,33.3,321,85.7,76,52.2,266,18.8,401+,17.3,401+,55.3,263,39.8
  272=,  247=,TECHNISCHE UNIVERSITƒT DARMSTADT,Germany,L,FO,VH,5,A,25.6,401+,87.6,68,6.9,401+,69.6,114,55.5,281,49.7,292,39.6
  272=,261,UNIVERSITY OF SURREY,United Kingdom,L,CO,VH,4,A,29.4,371,35.6,368,24.6,401+,47.8,256,95.7,111,99.1,37,39.6
274,  252=,UNIVERSITY OF EAST ANGLIA (UEA),United Kingdom,L,FC,HI,4,A,27.1,401+,17,401+,43.4,311,49.8,236,82.1,187,82.7,136,39.5
275,  321=,UNIVERSITAT POLIT»CNICA DE CATALUNYA ,Spain,L,CO,VH,3,A,42.4,239,49.1,243,55,253,22.3,401+,8.7,401+,30.7,401+,39.4
276,234,UNIVERSITY OF TURKU,Finland,L,FC,VH,4,A,32.8,326,33.6,391,75.2,146,25.3,401+,46.4,324,7.3,401+,39.3
  277=,  325=,UNIVERSITY OF INDONESIA,Indonesia,XL,FC,MD,5,A,48.1,206,60.1,175,44.3,304,1.6,401+,87.1,165,5.8,401+,39.2
  277=,  272=,UNIVERSITY OF STRATHCLYDE,United Kingdom,L,CO,VH,5,A,30.4,360,63.9,151,29,401+,32.6,385,87.6,160,77.7,158,39.2
  279=,  283=,DALHOUSIE UNIVERSITY,Canada,L,FC,VH,5,A,27,401+,23.2,401+,17.7,401+,68.5,119,100,25,72.3,178,39.1
  279=,  288=,UNIVERSITY OF SOUTH AUSTRALIA (UNISA),Australia,L,CO,VH,3,A,32,336,36.4,358,29.4,401+,41.9,305,100,9,65.7,206,39.1
281,  280=,UNIVERSIDAD CARLOS III DE MADRID,Spain,L,FO,VH,3,A,37.6,279,64.9,149,68.3,177,8.4,401+,34.4,376,4.2,401+,38.9
282,275,WUHAN UNIVERSITY,China,XL,FC,VH,5,A,43.9,226,57.9,182,22.8,401+,37.5,340,52.7,302,13.6,401+,38.8
  283=,301,"RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY, NEW BRUNSWICK",United States,XL,CO,VH,5,A,49.1,197,28.5,401+,35.2,372,32,391,26.3,401+,26.4,401+,38.6
  283=,  283=,UNIVERSITY COLLEGE CORK (UCC),Ireland,L,FC,HI,5,A,37.8,278,47.7,254,24,401+,36.7,350,94.8,118,34.9,385,38.6
  283=,  264=,UNIVERSITY OF GOTHENBURG,Sweden,L,FC,VH,5,A,43.5,230,17.9,401+,45.8,297,32.9,382,39.5,350,33.2,400,38.6
286,  299=,UNIVERSITƒT INNSBRUCK,Austria,L,FC,HI,5,A,29.1,374,47.6,256,42.6,317,18.1,401+,97.9,82,99.1,38,38.5
  287=,282,LINK÷PING UNIVERSITY,Sweden,L,CO,VH,3,A,27.3,399,44.4,280,70.2,166,30.4,401+,39,352,16.9,401+,38.4
  287=,  272=,UNIVERSITƒT ERLANGEN-N‹RNBERG,Germany,XL,FC,VH,5,A,28.9,378,40.2,319,3.4,401+,97.3,21,23.9,401+,27.4,401+,38.4
  289=,  310=,NATIONAL TAIWAN NORMAL UNIVERSITY,Taiwan,M,CO,VH,4,A,36.7,285,15.5,401+,73,155,11.9,401+,14.8,401+,86,122,38.3
  289=,  291=,UNIVERSITY OF OTTAWA,Canada,XL,FC,VH,5,A,32.6,328,36,363,7.7,401+,66,129,85.1,170,52.1,274,38.3
291,  306=,BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,Russia,L,CO,HI,5,A,28,395,60.2,174,99.9,19,1.1,401+,1.3,401+,12.8,401+,38.2
292,324,UNIVERSITY OF WAIKATO,New Zealand,M,CO,VH,4,A,25.8,401+,31.4,401+,13.9,401+,64.4,133,97.3,89,79.7,150,38.1
  293=,355,DEAKIN UNIVERSITY,Australia,XL,FC,HI,3,A,39.9,257,48.9,244,7,401+,38.9,328,96.1,105,59.6,243,37.9
  293=,  302=,INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),India,M,CO,VH,4,A,38.8,267,43.8,285,15.7,401+,73.2,98,2.1,401+,1.5,401+,37.9
  293=,221,UNIVERSIT… PARIS-SORBONNE (PARIS IV),France,L,SP,VH,5,A,65.8,131,47.2,264,7.9,401+,7.6,401+,24.4,401+,48.3,300,37.9
  296=,  252=,"SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON ",United Kingdom,S,SP,VH,5,A,33.7,315,28.4,401+,43.1,315,13.8,401+,100,40,100,13,37.8
  296=,  338=,UNIVERSIT¿ DEGLI STUDI DI PADOVA (UNIPD),Italy,XL,FC,VH,5,A,58,159,38.8,332,11.3,401+,39.6,324,2.8,401+,6.8,401+,37.8
  296=,  283=,UNIVERSITAT POMPEU FABRA,Spain,M,CO,VH,3,A,37.8,277,36.3,360,20.3,401+,47.7,257,74.8,210,31.6,401+,37.8
  299=,335,EWHA WOMANS UNIVERSITY,South Korea,L,FC,HI,5,B,29.8,367,28.7,401+,83.6,106,16.4,401+,10.2,401+,45.4,314,37.7
  299=,  278=,HONG KONG BAPTIST UNIVERSITY (HKBU),Hong Kong,M,FC,HI,2,A,22,401+,18.5,401+,35.6,367,52.6,210,100,50,86.3,120,37.7
  301=,296,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ (UCSC)",United States,L,CO,VH,4,A,30.6,358,26,401+,10.6,401+,94.4,31,24.2,401+,8.7,401+,37.6
  301=,323,UNIVERSITY OF PORTO,Portugal,L,FC,VH,5,A,45.6,220,49.3,238,15.4,401+,52.8,208,5.7,401+,9,401+,37.6
303,260,UNIVERSIT… DE STRASBOURG,France,XL,FC,HI,5,A,57.4,161,20.9,401+,12.1,401+,27.9,401+,35.7,364,50.9,282,37.5
304,  291=,INDIANA UNIVERSITY BLOOMINGTON,United States,XL,FC,VH,5,A,53.5,177,41.6,307,23.5,401+,19.6,401+,37.6,356,26.1,401+,37.4
  305=,262,UNIVERSIT… PARIS DIDEROT - PARIS 7,France,L,FC,VH,5,A,53.7,175,9.4,401+,16.2,401+,38.1,336,21.3,401+,56.5,256,37.3
  305=,  330=,UNIVERSITY OF LISBON ,Portugal,XL,FC,VH,5,A,47.4,208,61,167,13.9,401+,37.5,341,6.3,401+,32.1,401+,37.3
307,305,POLITECNICO DI TORINO,Italy,XL,FO,VH,5,A,36,295,71.1,126,3.2,401+,63.8,135,2.2,401+,38.1,373,37
  308=,  280=,"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",United Kingdom,M,FO,VH,5,A,20,401+,15.3,401+,25.9,401+,61.7,152,97.3,94,99.1,36,36.9
  308=,313,INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR (IITKGP),India,M,FO,VH,4,A,31.4,347,49.5,232,12.9,401+,81.8,60,6.2,401+,1,401+,36.9
  308=,  294=,WESTFƒLISCHE WILHELMS-UNIVERSITƒT M‹NSTER ,Germany,XL,FC,VH,5,A,42,244,50.9,222,43.5,310,22.2,401+,24.6,401+,11.4,401+,36.9
311,  321=,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Brazil,XL,FC,VH,4,A,67.1,127,29.5,401+,21.6,401+,10.2,401+,6.3,401+,3.3,401+,36.7
312,  327=,HERIOT-WATT UNIVERSITY,United Kingdom,M,CO,VH,4,A,20.1,401+,46.8,268,32.9,394,37.5,342,95.4,113,98.9,43,36.6
313,  370=,UNIVERSITY OF TASMANIA,Australia,M,CO,VH,5,A,24.7,401+,17.1,401+,31.2,401+,46.2,272,97.3,91,90.1,99,36.5
  314=,  302=,CHARLES UNIVERSITY,Czech Republic,XL,FC,VH,5,A,48.5,204,40.6,315,37.1,350,11.1,401+,16.8,401+,45.2,315,36.3
  314=,  347=,UNIVERSITY OF TARTU,Estonia,M,FC,VH,5,A,28.5,388,37.9,341,79.2,124,17.9,401+,16,401+,15.9,401+,36.3
  316=,  340=,MASSEY UNIVERSITY,New Zealand,L,CO,VH,4,A,37.2,281,35.6,369,22.7,401+,19.7,401+,96.8,100,86.6,115,36.2
  316=,  315=,TONGJI UNIVERSITY,China,XL,FC,VH,5,A,36.1,293,27.5,401+,24,401+,43.8,287,83.2,178,24.2,401+,36.2
318,342,UNIVERSITY AT BUFFALO SUNY,United States,L,FC,VH,5,A,27.1,401+,11.8,401+,10.3,401+,73.3,96,82.9,179,63.2,221,36.1
  319=,  343=,LINCOLN UNIVERSITY ,New Zealand,S,CO,VH,5,A,11.9,401+,13,401+,68.5,176,33.3,377,95.4,114,93.2,85,35.9
  319=,  297=,SUN YAT-SEN UNIVERSITY,China,XL,FC,VH,4,A,42.4,238,49.4,235,28.6,401+,31,401+,30.6,398,9.9,401+,35.9
  319=,  315=,UNIVERSITY OF LIEGE,Belgium,L,FC,VH,5,A,24.8,401+,33.9,389,14.9,401+,78.6,72,11.8,401+,63.8,219,35.9
322,  297=,HIROSHIMA UNIVERSITY,Japan,L,FC,VH,4,A,31.4,348,15.3,401+,83.8,104,17.5,401+,12,401+,15,401+,35.8
  323=,  377=,TOMSK STATE UNIVERSITY,Russia,M,CO,VH,5,A,22.9,401+,25.7,401+,94,58,2.7,401+,22.2,401+,69.4,191,35.7
  323=,271,"UNIVERSITY OF CALIFORNIA, RIVERSIDE (UCR)",United States,L,FC,HI,4,A,23.8,401+,35.4,374,12.2,401+,77.9,78,76.5,207,14.8,401+,35.7
  325=,336,GRIFFITH UNIVERSITY,Australia,XL,FC,HI,3,A,33.6,317,35.8,365,13.6,401+,40.2,316,98.2,75,57.5,248,35.6
  325=,  278=,HARBIN INSTITUTE OF TECHNOLOGY,China,L,FO,VH,4,A,26.3,401+,21.3,401+,50.3,274,60,159,8.5,401+,7.4,401+,35.6
  325=,  370=,UNIVERSIT¿ DEGLI STUDI DI MILANO,Italy,XL,FC,VH,4,A,52.9,181,36.4,357,7.1,401+,41.1,310,12.5,401+,9.6,401+,35.6
